id,status,path,present
ccy_country_weights_cache,approved,data/layer1/1A/ccy_country_weights_cache/parameter_hash={parameter_hash}/,true
s5_validation_receipt,approved,data/layer1/1A/ccy_country_weights_cache/parameter_hash={parameter_hash}/S5_VALIDATION.json,true
s5_passed_flag,approved,data/layer1/1A/ccy_country_weights_cache/parameter_hash={parameter_hash}/_passed.flag,true
merchant_currency,approved,data/layer1/1A/merchant_currency/parameter_hash={parameter_hash}/,true
hurdle_design_matrix,approved,data/layer1/1A/hurdle_design_matrix/parameter_hash={parameter_hash}/,true
hurdle_pi_probs,approved,data/layer1/1A/hurdle_pi_probs/parameter_hash={parameter_hash}/,true
sparse_flag,approved,data/layer1/1A/sparse_flag/parameter_hash={parameter_hash}/,false
crossborder_eligibility_flags,approved,data/layer1/1A/crossborder_eligibility_flags/parameter_hash={parameter_hash}/,true
country_set,deprecated,data/layer1/1A/country_set/seed={seed}/parameter_hash={parameter_hash}/,false
s6_membership,approved,data/layer1/1A/s6/membership/seed={seed}/parameter_hash={parameter_hash}/,true
s6_validation_receipt,approved,data/layer1/1A/s6/seed={seed}/parameter_hash={parameter_hash}/,true
ranking_residual_cache_1A,deprecated,data/layer1/1A/ranking_residual_cache_1A/seed={seed}/parameter_hash={parameter_hash}/,false
outlet_catalogue,approved,data/layer1/1A/outlet_catalogue/seed={seed}/manifest_fingerprint={manifest_fingerprint}/,true
s3_candidate_set,approved,data/layer1/1A/s3_candidate_set/parameter_hash={parameter_hash}/,true
s3_base_weight_priors,approved,data/layer1/1A/s3_base_weight_priors/parameter_hash={parameter_hash}/,true
s3_integerised_counts,approved,data/layer1/1A/s3_integerised_counts/parameter_hash={parameter_hash}/,false
s3_site_sequence,approved,data/layer1/1A/s3_site_sequence/parameter_hash={parameter_hash}/,false
hurdle_stationarity_tests_2024Q4,approved,data/layer1/1A/hurdle_stationarity_tests/parameter_hash={parameter_hash}/,false
crossborder_features,planning,data/layer1/1A/crossborder_features/parameter_hash={parameter_hash}/,true
merchant_abort_log,approved,data/layer1/1A/prep/merchant_abort_log/parameter_hash={parameter_hash}/part-*.parquet,false
s0_gate_receipt_1A,approved,data/layer1/1A/s0_gate_receipt/manifest_fingerprint={manifest_fingerprint}/s0_gate_receipt.json,true
sealed_inputs_1A,approved,data/layer1/1A/sealed_inputs/manifest_fingerprint={manifest_fingerprint}/sealed_inputs_1A.json,true
validation_bundle_1A,approved,data/layer1/1A/validation/manifest_fingerprint={manifest_fingerprint}/,true
validation_bundle_index_1A,approved,data/layer1/1A/validation/manifest_fingerprint={manifest_fingerprint}/index.json,true
validation_passed_flag_1A,approved,data/layer1/1A/validation/manifest_fingerprint={manifest_fingerprint}/_passed.flag,true
